тир;блок;фасет;ключ;значение;товаров;шорт-лист
-;новый фасет;Товарная группа (1С);tgroup;Компрессоры масляные 1 ст. (16-30 бар);539;да
-;новый фасет;Товарная группа (1С);tgroup;Компрессоры безмаслянные спиральные;440;да
-;новый фасет;Товарная группа (1С);tgroup;Бустеры 40 бар;247;да
-;пробел в фасете;Напряжение питания, В;volt;380/660;173;да
-;новый фасет;Товарная группа (1С);tgroup;Воздуходувки;152;да
-;новый фасет;Товарная группа (1С);tgroup;Компрессоры 40 бар;114;да
-;новый фасет;Товарная группа (1С);tgroup;Компрессоры масляные 1 ст. (1.5-5 бар);113;да
-;новый фасет;Тип двигателя;motor;Дизельный;110;да
-;новый фасет;Товарная группа (1С);tgroup;Компрессоры безмасляные 1 ст. (1.5-5 бар);69;да
-;новый фасет;Товарная группа (1С);tgroup;Компрессоры безмасляные ВД;66;да
-;новый фасет;Точка росы, °C;dewpt;-20;17;да
-;новый фасет;Степень защиты двигателя;ipclass;IP56;15;да
;новый фасет;Передвижной;mobile;нет;13822;
;новый фасет;Степень защиты двигателя;ipclass;IP55;10012;
;новый фасет;Тип двигателя;motor;Электрический;9248;
;новый фасет;Температурный режим;temp;Стандартный (0°C до 45°C);8958;
;новый фасет;Гарантия;warranty;1 год;7634;
;новый фасет;Степень защиты двигателя;ipclass;IP54;3850;
;новый фасет;Степень защиты двигателя;ipclass;IP23;1751;
;новый фасет;Малошумное исполнение;quiet;нет;424;
;пробел в фасете;Производительность, л/мин;perf;3200;203;
;новый фасет;Уровень шума, дБ;noise;70;200;
;пробел в фасете;Производительность, л/мин;perf;1700;197;
;пробел в фасете;Производительность, л/мин;perf;1100;175;
;пробел в фасете;Производительность, л/мин;perf;1200;166;
;пробел в фасете;Производительность, л/мин;perf;2500;160;
;пробел в фасете;Производительность, л/мин;perf;2100;152;
;пробел в фасете;Производительность, л/мин;perf;3600;148;
;новый фасет;Уровень шума, дБ;noise;68;141;
