"колонка";"свойство";"заполнено (все товары)";"% всех";"заполнено (компрессоры)";"% компрессоров";"уникальных значений";"топ-5 значений"
"IP_PROP22573";"Рабочее давление, Бар";"24722";"90.0";"19996";"99.7";"119";"10 (6857); 8 (4331); 13 (2978); 16 (2477); 7 (1378)"
"IP_PROP22704";"Минимальная цена";"20914";"76.1";"15295";"76.3";"3000+";"1220385.00 (14); 403903.00 (13); 9570490.00 (12); 321482.00 (10); 347961.00 (10)"
"IP_PROP22580";"Тип компрессора";"18363";"66.8";"18355";"91.5";"10";"винтовой (16048); винтовой безмасляный (642); винтовой двухступенчатый (549); поршневой (482); спиральный (467)"
"IP_PROP22601";"Тип привода";"18300";"66.6";"18292";"91.2";"2";"прямой (11179); ременный (7121)"
"IP_PROP22586";"Частотный преобразователь";"16583";"60.4";"16575";"82.7";"2";"нет (10094); да (6489)"
"IP_PROP22565";"Осушитель";"16085";"58.5";"16077";"80.2";"2";"нет (12207); да (3878)"
"IP_PROP22574";"Ресивер";"16592";"60.4";"16584";"82.7";"2";"нет (12348); да (4244)"
"IP_PROP22564";"Объем ресивера, л";"4564";"16.6";"4257";"21.2";"63";"500 (1831); 270 (701); 250 (389); 200 (254); 400 (226)"
"IP_PROP22566";"Передвижной";"15113";"55.0";"15105";"75.3";"2";"нет (13835); да (1278)"
"IP_PROP22563";"Напряжение питания";"15156";"55.2";"13584";"67.7";"7";"380 (12817); 400 (908); 220 (599); 230 (539); 380/660 (173)"
"IP_PROP22812";"Температурный режим";"10960";"39.9";"9937";"49.6";"4";"Стандартный (0°C до 45°C) (9642); До -40°C (655); До -20°C (365); До +60°C (298)"
"IP_PROP22553";"Производитель";"26834";"97.7";"20054";"100.0";"85";"Enger (5606); DALGAKIRAN (1745); KRAFTMANN (951); BERG (926); ET Compressors (910)"
"IP_PROP22671";"Страна происхождения";"22199";"80.8";"19247";"96.0";"16";"Китай (8343); Турция (2698); Германия (2609); Италия (2321); Россия (1790)"
"IP_PROP22583";"Тип смазки";"15996";"58.2";"15988";"79.7";"2";"масляный (13682); безмасляный (2314)"
"IP_PROP22811";"Яндекс.Маркет: Категория и Качество";"0";"0.0";"0";"0.0";"0";""
